"唯一问题编号
(自动生成)",问题,经济活动,具体形式,特殊主体,特殊行业,备注,财税类型,原答案,政策引文,标注答案
gzb1_276,河北xx服装有限公司生产棉被开具 13% 税率发票，领用 9% 税率的皮棉原材料时，对应的农产品增值税加计 1% 部分该如何做账务处理。,生产货物,,,,,财务,"农产品加计扣除进项税额的账务处理您参考：
1、购入时：
借:原材料
应交税费—应交增值税（进项税额）
贷：银行存款
2、生产领用当期加计扣除农产品进项税额时：
借：生产成本
应交税费—应交增值税（进项税额）
贷：原材料

如果本月领用1万的原材料，那么分录就是借生产成本9900，进项税额100，贷原材料1万",,"农产品加计扣除进项税额的账务处理您参考：
1、购入时：
借:原材料
应交税费—应交增值税（进项税额）
贷：银行存款
2、生产领用当期加计扣除农产品进项税额时：
借：生产成本
应交税费—应交增值税（进项税额）
贷：原材料

如果本月领用1万的原材料，那么分录就是借生产成本9900，进项税额100，贷原材料1万"
gzb1_277,"9.12号，美元账户收款10000元，9.17结汇转到人民币账户70964元，9.12汇率是7.1034,9.17号汇率是7.1027，其中美元账户收款的时候手续费是35美元，我这个应该怎么完整的做账？这个是第一次打钱，还没有开过票，属于预收的款",收汇付汇,,,,,财务,"9月12日收款按12日的汇率入账：
9.12号，美元账户收款10000元，9.12汇率是7.1034———— 借：银行存款-美元户71034       贷：预收帐款 71034

17日结汇按17日的汇率记账，差额计入汇兑损益：
9.17结汇转到人民币账户70964元————借：银行存款-人民币户70964   借：财务费用-汇兑损益  71034-70964    贷：银行存款-美元户 71034

手续费  借：财务费用-手续费35美元*7.1034    贷：银行存款35美元*7.1034

9.12日，美元户收款10000美元，扣手续费35美元，实际收10000-35美元，还是扣35美元后实际收10000美元，需要确认下，会影响科目数字。",,"根据《小企业会计准则》第七十六条及《企业会计准则第19号——外币折算》第十条，外币交易应当在初始确认时，通常采用交易发生日的即期汇率将外币金额折算为记账本位币金额。故9.12收款交易及产生的手续费应使用9.12的即期汇率，9.17结汇应使用9.17的即期汇率。是否开票不影响入账。
会计分录如下：
9.12日
1.收款时：
方案A（扣款同时入账，简化分录，适合手续费直接从收款中扣除且无单独回单）
借：银行存款-美元户 外币10000-35=9965美元 本位币9965*7.1034
财务费用-手续费 35*7.1034
贷：预收账款 外币10000美元 本位币10000*7.1034

方案B（收款后单独扣款，优先推荐，银行日记账与账目完全一致）
借：银行存款-美元户 外币10000美元 本位币10000*7.1034
贷：预收账款 外币10000美元 本位币10000*7.1034
借：财务费用-手续费 本位币35*7.1034
贷：银行存款-美元户 外币35美元 本位币35*7.1034

9.17日
2.结汇时：
借：银行存款-人民币户 本位币 9965×7.1027
财务费用-汇兑损益 9965×7.1034-9965×7.1027
贷：银行存款-美元户 外币9965美元 本位币9965×7.1034

注：预收账款（非货币性项目）月末无需调汇；银行存款 — 美元户（货币性项目）月末需按资产负债表日即期汇率调汇，差额计入财务费用 — 汇兑损益"
gzb1_278,采购运费中的部分税额抵扣，部分不能抵扣，会计分录如何处理,采购服务,,,,,财务,"抵扣的部分，借：应交税费——应交增值税（进项税额）  贷：应付账款
不能抵扣的部分，借：库存商品  贷：应付账款",,"不可抵扣部分税额需计入库存商品成本。
借：库存商品 （含税总金额-可抵扣税额）
应交税费-应交增值税（进项税额）（可抵扣税额）
贷：应付账款 （含税总金额）"
gzb1_285,我单位是物业公司，购买冰箱，是用来存放物业发给业主的粽子时用的，金额1600，计入哪个科目,采购货物,,,,,财务,给业主用的，为业务发生的，比如给业主临时存在一些快递的， 计入成本,,若符合固定资产标准（符合贵司的固定资产标准且使用期限超过1年）可计入固定资产，折旧计入成本；若不符合，则直接一次性计入成本费用。
gzb1_288,我们是制造业，卖的废成品绳和卖废的原材料，做收入时分别做什么科目？具体是生产的废绳，还有购进的线材,销售货物,,,,,财务,如果购进的线材，没有使用形成废品了，准则下通过待处理财产损益，后续净额列入营业外支出核算。如果不是，相当于直接出售材料，那可以通过其他业务收入核算,,"1.销售生产产生的废成品绳
这类废料是生产主营产品时产生的下脚料，成本原本归集在生产成本中。
确认销售收入
借：银行存款 / 应收账款
贷：其他业务收入
应交税费 — 应交增值税（销项税额）
结转成本（冲减生产成本）
借：其他业务成本
贷：生产成本 — 基本生产成本（或制造费用，根据废料归属的成本项目确定）
2.销售购进的废旧线材
这类是外购未投入生产的原材料，成本归集在原材料科目。
确认销售收入
借：银行存款 / 应收账款
贷：其他业务收入
应交税费 — 应交增值税（销项税额）
结转成本
借：其他业务成本
贷：原材料 — 线材
3.补充说明
若销售外购线材属于极偶发、非经营相关的交易（比如清理长期积压报废的线材），也可将收入计入营业外收入，此时无需结转成本，分录为：
借：银行存款 / 应收账款
贷：营业外收入
应交税费 — 应交增值税（销项税额）
"
gzb1_289,您好，我公司采购一台设备，给对方支信10%的货款，对方按10%的金额给我公司开具了发票，这台设备100万，发票开了10万（专用发票）我要如何入帐呢？设备是采购进来再销售出去的,采购货物,,,,,财务,"收入一般是在购买方取得货物、设备控制权时全额确认，并一次性结转主营业务成本，与收款及开票频次无关。增值税按合同约定的收款时间分次缴纳即可（先开具发票的按开票时间确认纳税义务）。
若设备已入库，对未取得发票的90万元成本，需暂估入账（借：库存商品 90万元，贷：应付账款-暂估应付款 90万元）。",,"公司采购的设备因用于对外销售，应计入库存商品科目核算，具体账务处理区分一般纳税人和小规模纳税人如下：
1.一般纳税人（假设适用 13% 增值税税率）
按已开票金额确认对应成本与进项税额，未开票部分暂估入账：
借：库存商品 - XX 设备  884955.75
应交税费 - 应交增值税（进项税额） 11,504
贷：应付账款 - XX 供应商（已开票部分） 100,000.00
应付账款 - 暂估应付账款（XX 供应商） 796459.75
后续收到剩余 90 万元专用发票时，冲销暂估并确认对应进项税额：
借：应付账款 - 暂估应付账款（XX 供应商） 796459.75
应交税费 — 应交增值税（进项税额） 103,539.85
贷：应付账款 - XX 供应商 900,000.00
参考依据：《增值税会计处理规定》第二（一）4项
会计司解读：在对《规定》第二（一）4项中已验收入库但尚未取得增值税扣税凭证的货物等暂估入账时，暂估入账的金额不包含增值税进项税额。一般纳税人购进劳务、服务等但尚未取得增值税扣税凭证的，比照处理。
2.小规模纳税人
小规模纳税人进项税额不得抵扣，按含税金额全额计入库存商品，区分已开票和未开票部分核算应付账款：
借：库存商品 - XX 设备 1,000,000.00
贷：应付账款 - XX 供应商（已开票部分） 100,000.00
应付账款 - 暂估应付账款（XX 供应商） 900,000.00
后续收到剩余 90 万元发票时，仅需调整应付账款明细科目，无需调整库存商品金额：
借：应付账款 - 暂估应付账款（XX 供应商） 900,000.00
贷：应付账款 - XX 供应商 900,000.00
参考依据：《企业会计准则第1号——存货》（2006）"
gzb1_290,老师，这个是我们工地上干活的车的GPS服务费计入什么科目？我们是工程企业,采购服务,,,,,财务,工程企业工地作业车辆的GPS服务费，应计入“工程施工—间接费用”科目，作为工程施工间接成本核算，具体可通过三级明细科目细化管理，确保成本归属清晰合规。,,"企业会计准则下，GPS服务费可计入“合同履约成本”，建筑企业可归为其他直接费用。
合同履约成本核心核算范围：与合同直接相关的成本（直接人工/材料、制造费用类、分包成本、机械使用费等），及仅因该合同发生的其他成本。
账务处理，发生时：
借：合同履约成本
贷：银行存款、应付职工薪酬、原材料等。
小企业会计准则下，GPS服务费可计入工程施工-其他直接费用
借：工程施工-其他直接费用
贷：银行存款、应付职工薪酬、原材料等。
参考依据：
新《企业会计准则第14号-收入》：核算企业为履行当前/预期取得合同发生的，不属于存货、固定资产、无形资产准则规范范围，且应确认为资产的成本。
建筑企业依据（《企业产品成本核算制度》财会[2013]17号）：GPS服务费可计入其他直接费用。"
gzb1_291,你好，我们组装产品，用到的螺丝这些小件的东西计入什么科目合适呀？能不能计入制造费用,生产货物,,,,,财务,涉及组装多个产品，需要分摊的，可以记入制造费用，然后制造费用再结转生产成本的。本身就是产品达到预定使用状态必须发生的，规范来说需要的,,"1.若螺丝用量小、单价极低、难以按单台产品准确归集，直接计入制造费用，期末再按合理分摊至各产品成本；
“制造费用”科目核算企业生产车间、部门为生产产品和提供劳务而发生的各项间接费用，主要账务处理您参考：
生产车间发生物料消耗时：
借：制造费用
贷：原材料等   
（后续制造费用结转至生产成本） 
2.若螺丝是某类产品的必要组成部件、能明确对应具体产品批次，且核算精度要求高，也可计入原材料—辅助材料，领用时直接结转至生产成本—直接材料。   
借：生产成本—直接材料
贷：原材料—辅助材料                           
"
gzb1_297,我公司上个月有销售旧机床  无票  ，执行小企业会计准则，分录如何做,销售货物,,,,,财务,"那就按固定资产 处置账务处理就可以了
收到处置收入：
借：银行存款等
贷：固定资产清理
应交税费—应交增值税（销项税额）

完整过程的分录：
1、固定资产转入清理：
借：固定资产清理
累计折旧
贷：固定资产
2、发生清理费用：
借：固定资产清理
借：应交税费—应交增值税（进项税额）【若涉及】
贷：银行存款
3、收到处置收入：
借：银行存款等
贷：固定资产清理
应交税费—应交增值税（销项税额）/应交税费—简易计税/应交税费—应交增值税
4、结转固定资产净损益：
（1）净损失
借：营业外支出
贷：固定资产清理
（2）净收益
借：固定资产清理
贷：营业外收入",,"旧机床应为企业的固定资产，出售固定资产应定性为固定资产处置。
依据《小企业会计准则》第三十四条处置固定资产，处臵收入扣除其账面价值、相关税费和清理费用后的净额，应当计入营业外收入或营业外支出。附录《小企业会计准则——会计科目、主要账务处理和财务报表》1601固定资产|三|（四）因出售、报废、毁损、对外投资等原因处置固定资产，应当按照该项固定资产账面价值，借记“固定资产清理”科目，按照其已计提的累计折旧，借记“累计折旧”科目，按照其原价，贷记本科目。

会计分录如下：
1、固定资产转入清理：
借：固定资产清理
累计折旧
贷：固定资产
2、发生清理费用：
借：固定资产清理
借：应交税费—应交增值税（进项税额）【若涉及】
贷：银行存款
3、收到处置收入：
借：银行存款等
贷：固定资产清理
应交税费—应交增值税（销项税额）/应交税费—简易计税/应交税费—应交增值税
4、结转固定资产净损益：
（1）净损失
借：营业外支出
贷：固定资产清理
（2）净收益
借：固定资产清理
贷：营业外收入"
gzb2_002,公司购买了土地使用权并计入无形资产，但未进行摊销，两年后出售了一部分，应该如何进行账务调整处理？,采购无形资产,,,,,财务,补提摊销借：管理费用等贷：累计摊销转让无形资产的账务处理您参考：借：银行存款/应收账款累计摊销营业外支出（净损失）贷：无形资产应交税费-应交增值税（销项税额）/应交税费-简易计税/应交税费-应交增值税营业外收入（净收益）,,"执行小企业会计准则补提摊销分录：
借：管理费用等
贷：累计摊销
转让部分无形资产的账务处理：
借：银行存款/应收账款
累计摊销（转出部分摊销金额，可以按照转让比例确定）
营业外支出（净损失）
贷：无形资产（部分转让价值，可以按照转让比例确定）
应交税费-应交增值税（销项税额）/应交税费-简易计税/应交税费-应交增值税
营业外收入（净收益）
剩余部分无形资产后续摊销分录：
借：管理费用等
贷：累计摊销（剩余价值计算摊销金额）

执行企业会计准则补计提摊销费用，其账务处理参考如下：
情形一：对会计报表影响重大
①借：以前年度损益调整
贷：累计摊销等
②借：利润分配-未分配利润
贷：以前年度损益调整
情形二：对会计报表影响不重大，可以直接计入当期损益，注意后期规范处理。
转让部分无形资产的账务处理您参考：
借：银行存款/应收账款
累计摊销（转出部分摊销金额，可以按照转让比例确定）
无形资产减值准备（若涉及）
贷：无形资产（部分转让价值，可以按照转让比例确定）
应交税费-应交增值税（销项税额）/应交税费-简易计税/应交税费-应交增值税
资产处置损益（借或贷）
剩余部分无形资产后续摊销分录：
借：管理费用等
贷：累计摊销（剩余价值计算摊销金额）

例如：无形资产原值100万，转让比例50%，转让部分原值=100*50%=50万，累计摊销同原值按照转让比例确定转出金额。
参考依据：《企业会计准则第28号——会计政策、会计估计变更和差错更正》（2006）; 《小企业会计准则》第八十八条
"
gzb2_057,公司办公楼装修费和购买的瓷器、字画、防盗门智能锁等是否都计入在建工程，完工后转入固定资产？,资产更新改造,,,,,财务,瓷器及字画，不是建筑物的一部分，建议单独核算，防盗门等可以列入在建工程核算，完工后转入固定资产。台球桌，是可移动的，不建议列入在建工程核算,,"可分割资产：瓷器、台球桌、字画等资产，建议单独作为固定资产或低值易耗品核算，不计入房屋类固定资产原值。

不可分割附属设备：防盗门、给排水管道、采暖设备、消防设施等与房屋不可分割的各类附属设备，可先列入“在建工程”科目归集核算；待相关工程完工并达到预定可使用状态后，一并转入“固定资产——房屋及建筑物”原值。

政策依据：《企业会计准则第4号——固定资产》第八条及《财政部 税务总局关于房产税和车船使用税几个业务问题的解释与规定》(财税地字〔1987〕3号)第二条第一款。

补充政策延伸：根据《国家税务总局关于进一步明确房屋附属设备和配套设施计征房产税有关问题的通知》(国税发〔2005〕173号)进一步规定。

注意事项：资产是否“不可分割”的判定核心的是“是否以房屋为载体、移动后是否损害房屋功能或资产价值”。例如嵌入式门禁系统、固定中央空调等移动后会破坏房屋结构或丧失使用价值，应计入房产原值；而可移动空调、独立家具等则应单独核算。
"
gzb2_061,工会返还60%的经费如何记账，且工会是单独核算还是与公司账务一起核算,工会经费,,,,,财务,企业收到工会经费返还的账务处理您参考：情况一：企业工会组织单独建立了工会经费核算账户，作为企业工会组织的活动经费，企业财务无需做账，由工会组织记账。1、工会收到返还的工会经费时：借：银行存款贷：拨缴经费收入2、支付活动经费时借：职工服务支出/业务支出/其他支出等贷：银行存款情况二：企业工会组织没有单独建立工会经费核算账户，返还的工会经费应当进入企业财务部门的账户进行核算。1、收到返还工会经费时：借：银行存款贷：其他应付款—工会经费2、工会组织支付活动经费时：借：其他应付款—工会经费贷：银行存款参考文件：《工会会计制度》。,,"基层工会应取得法人资格，开设独立的银行账户，并实行独立核算。不得将工会账户并入单位行政账户，或将工会经费纳入其他组织财务合并核算。
企业工会组织单独建立了工会经费核算账户，作为企业工会组织的活动经费，企业财务无需做账，由工会组织记账。 
工会收到返还的工会经费时： 
借：银行存款 
贷：拨缴经费收入 
支付活动经费时 
借：职工服务支出/业务支出/其他支出等 
贷：银行存款 
如果企业工会没有单独的经费核算账户，这在法律层面和财务规范上都是不合规的，企业需要立即整改。但现实中，新成立或小规模工会可能确实存在这个过渡期。
企业工会组织没有单独建立工会经费核算账户，返还的工会经费应当进入企业财务部门的账户进行核算。
1、收到返还工会经费时：
借：银行存款
贷：其他应付款—工会经费
2、工会组织支付活动经费时：
借：其他应付款—工会经费
贷：银行存款
参考文件：《工会会计制度》。"
gzb2_070,根据小企业会计准则，银行理财的收入是在银行账户收到时确认收入，还是银行确认了收入但实际没到账时就要确认收入？,金融商品交易,,,,,财务,实际已经确定金额的时候就要确认收入的，无论是否实际取得款项。按照理财期限对应确认收入的。,,"公司购买理财产品，获得的理财收益，已经确定收益期间与金额但未实际收到的，可计入投资收益科目，而不是在实际收到时确认收入。执行小企业会计准则，可以计入短期投资；
1、取得短期投资时：
借：短期投资
贷：银行存款
2、取得收益时：
借：应收利息
贷：投资收益（确定取得理财收入时）
借：银行存款（实际取得时）
贷：应收利息
参考文件：《小企业会计准则—会计科目、主要账务处理和财务报表》1101短期投资。
小贴士：如果是类似七天理财的短期理财形式，不用做账务处理，收到利息收入冲减财务费用即可。"
gzb2_082,小企业会计准则下，生产企业发生的劳保费应该如何入账？贷方是否需要计入福利费？,采购货物,,,,,财务,不计入福利费，贷方银行存款，周转材料等,,"劳保用品是职工完成工作的必须品，员工并没有因此获得福利，所以不属于福利费。应该计入相关成本费用，无需计入福利费。
账务处理您参考：
情况一：购入的劳保用品先入库，后续期间分批领用：
1、初始购进时：
借：周转材料—低值易耗品
应交税费—应交增值税（进项税额）（若涉及）
贷：银行存款等
2、实际领用时：
借：管理费用/制造费用/生产成本—劳保费
贷：周转材料—低值易耗品
情况二：购入的劳保用品直接领用：
借：管理费用/制造费用/生产成本—劳保费
应交税费—应交增值税（进项税额）（若涉及）
贷：银行存款等
政策依据：《企业会计准则第1号——存货》应用指南；《企业会计准则第9 号——职工薪酬》应用指南（2014）"
gzb2_146,我公司是物流企业，有一部分车做了报废国家购新车补贴，报废收入每辆车4.6万，购新车补贴5.5万，账务怎么处理？,政府补助,,,,,财务,取得的5.5万入营业外收入，然后做下面的分录：1、处置旧车：借：固定资产清理累计折旧贷：固定资产—旧车2、换购新车：借：固定资产—新车应交税费—应交增值税（进项税额）（若涉及）贷：银行存款固定资产清理（旧车抵减金额）3、确认转让旧车税额：借：固定资产清理贷：应交税费-应交增值税（销项税额）/或应交税费-简易计税/应交税费-应交增值税4、结转固定资产清理科目的余额：借：固定资产清理贷：营业外收入或借：营业外支出贷：固定资产清理,,"一、核心处理原则
1.  车辆报废收入：按固定资产处置核算，净额计入对应损益科目；
2.  购新车补贴：按与资产相关的政府补助核算，分总额法处理，小企业准则仅可采用总额法，企业准则可选择总额法或净额法。
二、关键准则依据
（一）小企业会计准则
1. 第六十九条：与资产相关的政府补助，确认为递延收益，按相关资产使用寿命平均分配计入营业外收入；
2. 第三十四条：固定资产处置净额（收入扣减账面价值、税费、清理费用）计入营业外收入/支出。
（二）企业会计准则
1. 第4号（固定资产）第二十三条及应用指南：固定资产处置净额计入当期损益，账面价值=成本-累计折旧-累计减值准备；属于因自然灾害发生毁损、已丧失使用功能等原因而报废清理所产生的损失，借记“营业外支出——非流动资产毁损报废损失”科目，贷记本科目。如为贷方余额，借记本科目，贷记“资产处置损益”或“营业外收入”科目。
2. 第16号（政府补助）及应用指南：与资产相关的政府补助可采用总额法（确认为递延收益分期计入损益）或净额法（冲减资产账面价值），方法一经选定不得随意变更。
三、账务处理分录
（一）车辆报废处理
1. 转入清理：  
借：固定资产清理、累计折旧
贷：固定资产
2. 收到报废收入（含增值税）：
借：银行存款      
贷：固定资产清理、应交税费-应交增值税（销项税额）
3. 结转净损益：
① 净损失：
借：营业外支出
贷：固定资产清理
② 净收益：
借：固定资产清理 
贷：营业外收入
（二）购新车补贴处理
1.  总额法（小企业准则必用，企业准则可选）
①收到补贴：
借：银行存款 
贷：递延收益
②新车达可使用状态后分期摊销：     
借：递延收益
贷：其他收益（企业准则）/营业外收入（小企业准则）

2.  净额法（仅企业准则可选）
收到补贴：
借：银行存款 
贷：固定资产-新车（冲减资产账面价值，后续按冲减后金额计提折旧）"
gzb2_207,我公司使用别的公司的办公室和宿舍，现在由我公司进行内部的改造，这部分费用如何进行账务处理,资产更新改造,,,,,财务,也就是租入的资产，那改造记入长期待摊费用中,,"经营租赁方式租入的房屋建筑物，发生的改良支出可以计入长期待摊费用科目。
案例参考：
（1）购买原材料，价款100000元、进项税17 000元
借：原材料100 000
应交税费-应交增值税-进项税额17 000
贷：银行存款117000
（2）原材料用于经营租入的房屋改良支出
借：长期待摊费用100 000
贷：原材料100 000
（3）按20年进行摊销
借：管理费用等416.67
贷：长期待摊费用416.67
解析：每月摊销额=100 000÷20÷12=416.67
参考政策：《企业会计准则应用指南——会计科目和主要账务处理》1801长期待摊费用;《小企业会计准则》——第四十三条
"
gzb2_217,外面的人来我们公司吃饭，给了我们60块钱，怎么做账？,提供服务,,,,,财务,您可以做到其他业务收入里面的,,"可以通过其他业务收入科目核算：
借：银行存款等
贷：其他业务收入
应交税费——应交增值税（销项税额）/应交税费——应交增值税/应交税费—简易计税
参考依据：
《企业会计准则应用指南——主要会计科目和主要账务处理》“6051其他业务收入”
《小企业会计准则——会计科目、主要账务处理和财务报表》“5051其他业务收入”"
gzb2_239,我单位盖了一个仓库，进来了两张建筑服务劳务费的发票总计110000元，以前没有过类似的业务，不知道怎么入账，会计分录怎么做,建造不动产,,,,,财务,建设需要一定的时间的话可以先通过在建工程科目核算。借：在建工程  贷：银行存款等。达到预定可使用状态时转入固定资产,,"收到建筑服务劳务费的进项发票，应当计入仓库入账价值。
收到进项发票时分录：
借：在建工程-仓库
应交税费-应交增值税（进项税额）（小规模企业合并到仓库原值）
贷：银行存款/应付账款等
后期，仓库完工，在建转入固定资产：
借：固定资产-仓库
贷：在建工程-仓库
参考依据：《企业会计准则第4号——固定资产》第八条；《小企业会计准则》第二十七条"
gzb2_253,5月份开具的跑腿发票税号开错了，同事在手机直接红冲后，5月份是否还需要做账？,提供服务,,,,,财务,您5月份可以先根据实际业务据实做账,,"该项跑腿服务受益期为 5 月，无论是否取得合规发票，均需在 5 月确认费用；税号错误的发票及红冲凭证仅作备查，不参与账务抵扣流程，待取得合规发票后冲销暂估并重新入账。

账务处理可参考：
1.5月计提暂估入账
借：管理费用等-杂费
贷：应付账款-暂估应付款

2.取得发票后
借：管理费用等-杂费  （红冲）
贷：应付账款-暂估应付款   （红冲）

借：管理费用等-杂费
应交税费-应交增值税（进项税额）（若涉及）
贷：应付账款"
gzb2_260,公司自用的光伏发电装置如何做账务处理,建造不动产,,,,,财务,如果是安装这个，是走固定资产借：在建工程  归集成本费用贷：应付账款/银行存款/应付职工薪酬-工资借：固定资产-光伏发电设备贷：在建工程按月计提折旧,,"公司购入光伏发电装置，可以计入固定资产，后期分期计提折旧核算。
如果需要安装，安装期间：
借：在建工程-光伏发电装置
应交税费-应交增值税（进项税额）（小规模合并至固定资产原值中）
贷：原材料/应付职工薪酬/银行存款等
完工转入固定资产：
借：固定资产-光伏发电装置
贷：在建工程-光伏发电装置
后期分期计提折旧处理（设备按照5年计算）：
借：管理费用等
贷：累计折旧
参考依据：《企业会计准则第4号——固定资产》第三条、第四条、第八条。
《小企业会计准则》第二十七条
《企业所得税法实施条例》第六十条"
gzb2_273,公司员工约定出差购买了飞机票，临时通知出差取消产生的退票费用应该计入什么科目？,采购服务,,,,,财务,企业退机票产生退票手续费的账务处理您参考：情况一：订票时已经计入了相关成本费用，退票并收到退款时借：银行存款贷：管理费用等情况二：订票时已经计入了其他应收款等往来科目借：银行存款管理费用等贷：其他应收款等,,"企业收到退票发票，同时会收到原来订机票的退款，扣除退票发票后差额进行账务处理。
情况一：订票时已经计入了相关成本费用，退票并收到退款时
借：银行存款
贷：管理费用等
情况二：订票时已经计入了其他应收款等往来科目，退票并收到退款时
借：银行存款
管理费用等
贷：其他应收款等"
gzb2_309,公司名下的房屋有产权证，目前作为存货核算且不计提折旧，租金收入计入主营业务收入，但房屋出租已成为公司主营业务，是否需要将租金收入调整至其他业务收入？如果不调整，是否需要将存货转为投资性房地产？,租赁资产,,,,,财务,那就要改变性质了 不能再记入库存了,,"公司名下的房产已经出租，计入存货核算，不符合规定，企业会计准则规定，已经用于出租的房产计入投资性房地产，小企业会计准则规定，已经用于出租的房产计入固定资产。
（出租业务属于主营业务，无需将收入调整至其他业务收入，可以计入主营业务成本，属于非主营业务，调整至其他业务收入，计入其他业务成本）
小企业会计准则下作为存货的房地产，改为出租：
借：固定资产-原值
贷：存货
补提折旧处理：
借：其他业务成本/主营业务成本等 
贷：累计折旧


企业会计准则下区分成本模式和公允价值模式：
成本模式下作为存货的房地产，改为出租：
借：投资性房地产（倒挤）
存货减值准备（如涉及）
贷：存货

补提折旧处理：
情况一：对会计报表影响不重大，可直接计入当期损益：
借：其他业务成本/主营业务成本等 
贷：累计折旧
情况二：对会计报表影响重大，需要调整以前年度损益：
1.借：以前年度损益调整
贷：累计折旧
2.若涉及到企业所得税的调整：
借：应交税费—应交企业所得税
贷：以前年度损益调整
3.借：利润分配—未分配利润
贷：以前年度损益调整

公允模式下作为存货的房地产，改为出租：
借：投资性房地产—成本（转换日公允价值）
存货减值准备
公允价值变动损益（借方差额）
贷：存货（原值）
其他综合收益（贷方差额）
公允价值模式下“投资性房地产”在账面不计提折旧，不减值，但是在每期末需要确认公允价值变动。
借：投资性房地产-公允价值变动（借或贷）
贷：公允价值变动损益（借或贷）


参考依据：《企业会计准则》第28号——会计政策、会计估计变更和差错更正；并引用：（企业会计准则讲解2010年）——第二十九章会计政策、会计估计 变更和差错更正
《小企业会计准则》第八十八条
《企业会计准则第3号》——投资性房地产；《小企业会计准则》——第二十七条"
gzb2_321,发票上固定资产数量0.75台，剩下的0.25台下个月才能开进来，这张发票怎么入账呢？,采购货物,,,,,财务,那入账全额入呢 ，借：固定资产  进项税额（专票） 贷：银行存款  应付账款（未支付的部分）,,"公司购买固定资产，如果已经达到固定资产入账状态，只是未取得发票，具体账务处理区分一般纳税人和小规模纳税人如下：
1.一般纳税人（假设适用 13% 增值税税率）
按已开票金额确认对应成本与进项税额，未开票部分暂估入账：
借：固定资产 - XX 设备 （已开票部分金额+未开票部分暂估，暂估部分不估税）
应交税费 - 应交增值税（进项税额） （已开票部分税额）
贷：应付账款 - XX 供应商（已开票部分）
应付账款 - 暂估应付账款（XX 供应商）（未开票部分暂估不含税）
新增资产次月进行折旧：
借：管理费用等
贷：累计折旧
后续收到剩余 0.25台专用发票时，冲销暂估并确认对应进项税额：
借：应付账款 - 暂估应付账款（XX 供应商） （未开票部分暂估不含税）
应交税费 — 应交增值税（进项税额）（取得发票计提税额）
贷：应付账款 - XX 供应商 
（按照最新的原值继续折旧，原已计提的折旧金额无需调整）
参考依据：《增值税会计处理规定》第二（一）4项
会计司解读：在对《规定》第二（一）4项中已验收入库但尚未取得增值税扣税凭证的货物等暂估入账时，暂估入账的金额不包含增值税进项税额。一般纳税人购进劳务、服务等但尚未取得增值税扣税凭证的，比照处理。

2.小规模纳税人
小规模纳税人进项税额不得抵扣，按含税金额全额计入固定资产原值，区分已开票和未开票部分核算应付账款：
借：固定资产 - XX 设备 （已开票部分金额+未开票部分暂估)
贷：应付账款 - XX 供应商（已开票部分） 
应付账款 - 暂估应付账款（XX 供应商） （未开票部分暂估）
新增资产次月进行折旧：
借：管理费用等
贷：累计折旧
后续收到剩余0.25台发票时，仅需调整应付账款明细科目，无需调整固定资产金额：
借：应付账款 - 暂估应付账款（XX 供应商） 
贷：应付账款 - XX 供应商 
参考依据：《企业会计准则第4号——固定资产》应用指南"
gzb2_363,企业支付临时占地协调及地上附着物补偿几十万或几万的金额如何入账，具体应计入哪个科目,采购服务,,,,,财务,金额大的，建议走无形资产科目；金额不大的话入管理费用科目即可,,"企业支付的临时占地协调费及地上附着物补偿费，核心入账原则是根据临时占地的具体用途判断，划分资本性支出或收益性支出。
分具体用途账务处理可参考，
1.若直接用于日常生产经营，且受益期<1年（如临时堆放原材料、搭建临时仓储 / 加工场地）
借：管理费用 / 销售费用 —— 临时占地补偿费
贷：银行存款

2.若长期使用（受益期＞1 年）分期摊销
支付时：
借：长期待摊费用 —— 临时占地费
贷：银行存款
分期摊销时：
借：管理费用 / 销售费用
贷：长期待摊费用 —— 临时占地费

3.用于固定资产建造
借：在建工程 ——XX 项目（临时占地费）
贷：银行存款
项目完工结转时：
借：固定资产 ——XX 资产
贷：在建工程 ——XX 项目"
gzb2_373,小企业会计准则下，购买的理财到期后应该如何记账,金融商品交易,,,,,财务,借：银行存款贷：短期投资      投资收益   差额,,"执行小企业会计准则的企业，短期投资的账务处理您参考：
1、取得短期投资时：
借：短期投资
贷：银行存款
2、取得收益时：
借：应收利息
贷：投资收益
借：银行存款
贷：应收利息

3、出售（到期收回）短期投资时：
借：银行存款
贷：短期投资
投资收益（或借方）
提醒：涉及增值税时，还需确认增值税的账务处理。
参考文件：《小企业会计准则—会计科目、主要账务处理和财务报表》1101短期投资。"
gzb2_375,我们企业从另一家单位承揽项目，对方将费用以工资形式发放给我们企业的员工，且金额与实际工资不一致（几乎平均分配），这种情况下应如何入账？,提供服务,,,,,财务,借：应收账款贷：主营业务收入应交税费然后对方替您公司发放工资借：应付职工薪酬-工资贷：应收账款,,"该业务不属于员工工资薪金发放，核心本质是：贵司承揽项目后提供劳务 / 服务，对方以 “代发员工款项” 的形式，向贵司支付项目服务费。
账务处理如下：
1.确认收入（员工代收款项时）
借：其他应收款-XX员工（按代收员工明细核算）
贷：主营业务收入/其他业务收入
应交税费-应交增值税（销项税额）

2.员工上交代收款项至企业对公账户
借：银行存款
贷：其他应收款-XX员工
"
